"Root","Juuri"
"Could not save product ""%1"" with websites %2","Could not save product ""%1"" with websites %2"
"We cannot determine the field name.","We cannot determine the field name."
"Attribute '%1' is locked. %2","Ominaisuus '%1' on lukittu. %2"
"Do not change the scope. %1","Do not change the scope. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"Product with SKU %1 is not linked to product with SKU %2","Product with SKU %1 is not linked to product with SKU %2"
"Multiple Select","Monivalinta"
"Dropdown","Pudotusvalikko"
