"Root","Hoofd (root)"
"Start typing to find products","Begin met typen om producten te vinden"
"Product with ID: %s doesn't exist","Product met ID: %s bestaat niet"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 implementeert WysiwygConfigDataProcessorInterface niet. Het wordt overgeslagen"
"An item needs to be selected. Select and try again.","Een item moet worden geselecteerd. Selecteer en probeer het opnieuw."
"Use Static URLs for Media Content in WYSIWYG","Gebruik statische URL's voor media content in de WYSIWYG editor"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media-inhoud wordt in de editor ingevoegd als een statische URL. Media-inhoud wordt niet bijgewerkt als de basis-URL van de systeemconfiguratie verandert."
"Default Layouts","Standaard layout"
"Default Product Layout","Standaard product layout"
"Default Category Layout","Standaard categorie layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Tijd in seconden tussen de widget updates.
                    <br/>Indien niet ingesteld, is gelijk aan 86400 seconden (24 uur). Om de widget direct te updaten, ga naar Cache beheer en heldere blokken HTML Output cache.
                    <br/>Widget zal geen producten tonen die overeenkomen met de opgegeven voorwaarden totdat de cache is vernieuwd.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Tekst editor invoer veld vereist dat WYSIWYG ingeschakeld is in Winkels > Configuratie > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribuutcode ""%1"" is ongeldig. Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of underscore(_) in dit veld, eerste teken moet een letter zijn."
"Advanced","Geavanceerd"
